Topic,Difficulty,QuestionType,Question,OptionA,OptionB,OptionC,OptionD,MatchingPairs,CorrectAnswer,Explanation
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Medium,Fill-in-the-Blank,Triglycerides have _______ fatty acid tails.,,,,,,3|three|Three,Tri means three.
Lipids,Medium,True/False,Fatty acid tails are very long 14-20 carbons.,,,,,,True,Long hydrocarbon chains.
Lipids,Medium,Multiple Choice,What is the main job of triglycerides?,Structural only,Energy storage,Signaling only,Making proteins,,B,Triglycerides store energy efficiently.
Lipids,Medium,Fill-in-the-Blank,Saturated fats are usually _______ at room temperature.,,,,,,solid|Solid,Saturated fats pack tightly.
Lipids,Medium,True/False,Unsaturated fats are liquids at room temperature.,,,,,,True,Kinks prevent tight packing.
Lipids,Medium,Multiple Choice,Saturated fats:,Have double bonds,Pack together tightly,Are always liquid,Are always healthy,,B,No kinks allows tight packing.
Lipids,Medium,Fill-in-the-Blank,Unsaturated fats have _______ in their chains that prevent tight packing.,,,,,,kinks|Kinks,Double bonds create kinks.
Lipids,Medium,True/False,Phospholipids are modified triglycerides.,,,,,,True,Phospholipids have phosphate groups.
Lipids,Medium,Fill-in-the-Blank,Amphipathic molecules have portions that can interact with water and portions that _______.,,,,,,cannot|cannot interact with water|Cannot,Both hydrophilic and hydrophobic parts.
Lipids,Medium,Multiple Choice,Phospholipids form:,DNA,Proteins,Cell membranes,Carbohydrates,,C,Bilayers form membranes.
Lipids,Medium,True/False,Phospholipid bilayers are the main component of cell membranes.,,,,,,True,Bilayers form membrane structure.
Lipids,Medium,Fill-in-the-Blank,Triglycerides have _______ fatty acid tails.,,,,,,3|three|Three,Tri means three.
Lipids,Medium,True/False,Fatty acid tails are very long 14-20 carbons.,,,,,,True,Long hydrocarbon chains.
Lipids,Medium,Multiple Choice,What is the main job of triglycerides?,Structural only,Energy storage,Signaling only,Making proteins,,B,Triglycerides store energy efficiently.
Lipids,Medium,Fill-in-the-Blank,Saturated fats are usually _______ at room temperature.,,,,,,solid|Solid,Saturated fats pack tightly.
Lipids,Medium,True/False,Unsaturated fats are liquids at room temperature.,,,,,,True,Kinks prevent tight packing.
Lipids,Medium,Multiple Choice,Saturated fats:,Have double bonds,Pack together tightly,Are always liquid,Are always healthy,,B,No kinks allows tight packing.
Lipids,Medium,Fill-in-the-Blank,Unsaturated fats have _______ in their chains that prevent tight packing.,,,,,,kinks|Kinks,Double bonds create kinks.
Lipids,Medium,True/False,Phospholipids are modified triglycerides.,,,,,,True,Phospholipids have phosphate groups.
Lipids,Medium,Fill-in-the-Blank,Amphipathic molecules have portions that can interact with water and portions that _______.,,,,,,cannot|cannot interact with water|Cannot,Both hydrophilic and hydrophobic parts.
Lipids,Medium,Multiple Choice,Phospholipids form:,DNA,Proteins,Cell membranes,Carbohydrates,,C,Bilayers form membranes.
Lipids,Medium,True/False,Phospholipid bilayers are the main component of cell membranes.,,,,,,True,Bilayers form membrane structure.
Lipids,Medium,Fill-in-the-Blank,Triglycerides have _______ fatty acid tails.,,,,,,3|three|Three,Tri means three.
Lipids,Medium,True/False,Fatty acid tails are very long 14-20 carbons.,,,,,,True,Long hydrocarbon chains.
Lipids,Medium,Multiple Choice,What is the main job of triglycerides?,Structural only,Energy storage,Signaling only,Making proteins,,B,Triglycerides store energy efficiently.
Lipids,Medium,Fill-in-the-Blank,Saturated fats are usually _______ at room temperature.,,,,,,solid|Solid,Saturated fats pack tightly.
